Date,Open,High,Low,Close,Adj Close,Volume
2020-04-13,30.010000228881836,30.190000534057617,28.809999465942383,29.549999237060547,28.969425201416016,882900
2020-04-14,30.799999237060547,31.260000228881836,30.149999618530273,31.149999618530273,30.53799057006836,1428800
2020-04-15,30.0,30.299999237060547,29.559999465942383,29.739999771118164,29.15569305419922,1390000
2020-04-16,29.899999618530273,29.950000762939453,29.1299991607666,29.399999618530273,28.82237434387207,1069600
2020-04-17,29.90999984741211,31.139999389648438,29.90999984741211,30.860000610351562,30.25368881225586,1536200
2020-04-20,30.25,31.149999618530273,30.030000686645508,30.469999313354492,29.87135124206543,927000
2020-04-21,29.729999542236328,30.610000610351562,29.43000030517578,30.3700008392334,29.773319244384766,2556400
2020-04-22,30.979999542236328,31.239999771118164,30.479999542236328,30.90999984741211,30.30270767211914,1033400
2020-04-23,31.170000076293945,32.599998474121094,31.149999618530273,32.04999923706055,31.42030906677246,1628700
2020-04-24,32.06999969482422,33.130001068115234,31.6299991607666,33.040000915527344,32.39085388183594,1791200
2020-04-27,33.310001373291016,34.15999984741211,33.310001373291016,34.08000183105469,33.410423278808594,1143400
2020-04-28,34.599998474121094,35.0,34.150001525878906,34.43000030517578,33.75354766845703,1706100
2020-04-29,35.08000183105469,36.029998779296875,34.900001525878906,35.650001525878906,34.949581146240234,1713700
2020-04-30,35.15999984741211,35.20000076293945,34.43000030517578,34.43000030517578,33.75354766845703,1726400
2020-05-01,33.59000015258789,34.08000183105469,33.189998626708984,34.040000915527344,33.37120819091797,860300
2020-05-04,32.900001525878906,34.56999969482422,32.689998626708984,34.40999984741211,33.73393630981445,1429000
2020-05-05,34.75,35.16999816894531,34.310001373291016,34.34000015258789,33.66531753540039,965700
2020-05-06,34.599998474121094,34.91999816894531,33.970001220703125,34.380001068115234,33.70452880859375,966700
2020-05-07,35.02000045776367,35.400001525878906,34.529998779296875,35.15999984741211,34.46920394897461,1024300
2020-05-08,35.540000915527344,36.060001373291016,35.150001525878906,35.65999984741211,34.95938491821289,686500
2020-05-11,35.29999923706055,35.33000183105469,34.790000915527344,34.880001068115234,34.194705963134766,1496700
2020-05-12,37.13999938964844,37.5,34.209999084472656,34.209999084472656,33.53786849975586,3144500
2020-05-13,33.970001220703125,34.119998931884766,32.560001373291016,33.060001373291016,32.41046142578125,3104600
2020-05-14,32.45000076293945,33.119998931884766,31.850000381469727,32.90999984741211,32.263404846191406,1968500
2020-05-15,32.56999969482422,32.81999969482422,31.959999084472656,32.709999084472656,32.06733703613281,1563100
2020-05-18,33.7400016784668,35.130001068115234,33.59000015258789,34.97999954223633,34.29274368286133,1873200
2020-05-19,34.86000061035156,34.970001220703125,33.72999954223633,33.72999954223633,33.067298889160156,1004800
2020-05-20,34.560001373291016,34.810001373291016,34.150001525878906,34.22999954223633,33.55747604370117,690000
2020-05-21,34.29999923706055,34.43000030517578,33.900001525878906,34.09000015258789,33.420230865478516,1364100
2020-05-22,34.09000015258789,34.13999938964844,33.45000076293945,33.84000015258789,33.175140380859375,990000
