Datetime,AMZN,MSFT,GOOG,ECH,BLDP
2022-02-22 09:30:00-05:00,3020.572509765625,285.4809875488281,2587.949951171875,25.739999771118164,9.489999771118164
2022-02-22 09:35:00-05:00,3015.679931640625,286.3699035644531,2601.302490234375,25.887500762939453,9.420000076293945
2022-02-22 09:40:00-05:00,3031.0,288.2099914550781,2622.1298828125,25.97369956970215,9.59000015258789
2022-02-22 09:45:00-05:00,3041.550048828125,290.0899963378906,2625.0,25.969999313354492,9.5649995803833
2022-02-22 09:50:00-05:00,3045.429931640625,290.8900146484375,2621.6201171875,25.989999771118164,9.510000228881836
2022-02-22 09:55:00-05:00,3031.205078125,289.3900146484375,2615.06005859375,25.975000381469727,9.39009952545166
2022-02-22 10:00:00-05:00,3035.1298828125,289.57000732421875,2613.889892578125,25.899900436401367,9.390000343322754
2022-02-22 10:05:00-05:00,3030.9951171875,289.6199951171875,2617.860107421875,25.938800811767578,9.414999961853027
2022-02-22 10:10:00-05:00,3044.85009765625,289.80999755859375,2621.68505859375,25.940000534057617,9.489999771118164
2022-02-22 10:15:00-05:00,3048.1298828125,289.80120849609375,2626.0,26.06999969482422,9.550000190734863
2022-02-22 10:20:00-05:00,3045.0,289.2099914550781,2624.7900390625,25.985000610351562,9.5600004196167
2022-02-22 10:25:00-05:00,3059.64990234375,290.4700012207031,2637.134033203125,25.94499969482422,9.550000190734863
2022-02-22 10:30:00-05:00,3048.6298828125,289.6300048828125,2628.570068359375,25.95989990234375,9.460000038146973
2022-02-22 10:35:00-05:00,3039.1201171875,289.25,2626.43994140625,25.920000076293945,9.41469955444336
2022-02-22 10:40:00-05:00,3033.06005859375,289.25,2621.280029296875,25.93899917602539,9.449999809265137
2022-02-22 10:45:00-05:00,3036.800048828125,289.5,2624.800048828125,25.989900588989258,9.46500015258789
2022-02-22 10:50:00-05:00,3026.47509765625,288.6600036621094,2624.239990234375,25.930999755859375,9.369999885559082
2022-02-22 10:55:00-05:00,3025.0,288.6000061035156,2623.0,25.950000762939453,9.354999542236328
2022-02-22 11:00:00-05:00,3018.52001953125,288.04998779296875,2614.320068359375,25.96739959716797,9.34000015258789
2022-02-22 11:05:00-05:00,3012.3701171875,287.8865966796875,2600.610107421875,25.899999618530273,9.319999694824219
2022-02-22 11:10:00-05:00,3011.320068359375,287.69000244140625,2594.949951171875,25.940000534057617,9.3149995803833
2022-02-22 11:15:00-05:00,3000.25,287.5199890136719,2590.4599609375,25.943099975585938,9.279999732971191
2022-02-22 11:20:00-05:00,2995.989990234375,287.3999938964844,2591.070068359375,25.950000762939453,9.260000228881836
2022-02-22 11:25:00-05:00,2995.60009765625,287.6499938964844,2593.739990234375,25.920000076293945,9.2746000289917
2022-02-22 11:30:00-05:00,3003.419921875,287.5400085449219,2595.219970703125,25.950000762939453,9.319999694824219
2022-02-22 11:35:00-05:00,2994.4833984375,287.243408203125,2592.239990234375,25.920000076293945,9.25
2022-02-22 11:40:00-05:00,2995.7099609375,287.239990234375,2594.780029296875,25.924999237060547,9.25
2022-02-22 11:45:00-05:00,2998.719970703125,287.44000244140625,2601.166259765625,25.93000030517578,9.220000267028809
2022-02-22 11:50:00-05:00,2990.93994140625,286.5450134277344,2588.89990234375,25.889999389648438,9.15999984741211
2022-02-22 11:55:00-05:00,2996.610107421875,286.8550109863281,2594.030029296875,25.93000030517578,9.199999809265137
2022-02-22 12:00:00-05:00,3000.0,287.0799865722656,2597.256103515625,25.915000915527344,9.199999809265137
2022-02-22 12:05:00-05:00,2999.9599609375,287.3808898925781,2598.034912109375,25.8700008392334,9.210000038146973
2022-02-22 12:10:00-05:00,2997.7900390625,287.0799865722656,2595.800048828125,25.844999313354492,9.175000190734863
2022-02-22 12:15:00-05:00,2997.02490234375,286.6600036621094,2590.080078125,25.829999923706055,9.135000228881836
2022-02-22 12:20:00-05:00,2999.010009765625,286.7149963378906,2590.570068359375,25.81999969482422,9.109999656677246
2022-02-22 12:25:00-05:00,3000.705078125,286.739990234375,2592.81494140625,25.799999237060547,9.149999618530273
2022-02-22 12:30:00-05:00,2997.1201171875,286.55999755859375,2584.969970703125,25.799999237060547,9.140000343322754
2022-02-22 12:35:00-05:00,3002.739990234375,286.8500061035156,2587.300048828125,25.84000015258789,9.165499687194824
2022-02-22 12:40:00-05:00,2996.85498046875,286.8800048828125,2584.555908203125,25.850000381469727,9.140000343322754
2022-02-22 12:45:00-05:00,2999.93994140625,286.69000244140625,2582.429931640625,25.860000610351562,9.095000267028809
2022-02-22 12:50:00-05:00,2999.72509765625,286.57000732421875,2583.570068359375,25.850000381469727,9.100000381469727
2022-02-22 12:55:00-05:00,2999.89990234375,286.6724853515625,2584.0,25.799999237060547,9.095000267028809
2022-02-22 13:00:00-05:00,3000.320068359375,286.1900939941406,2581.800048828125,25.75,9.09000015258789
2022-02-22 13:05:00-05:00,2999.97998046875,286.54998779296875,2582.094970703125,25.80739974975586,9.100000381469727
2022-02-22 13:10:00-05:00,3002.0,286.7099914550781,2581.300048828125,25.80500030517578,9.119999885559082
2022-02-22 13:15:00-05:00,2996.655029296875,285.7900085449219,2574.06005859375,25.79159927368164,9.050000190734863
2022-02-22 13:20:00-05:00,2998.5048828125,285.9649963378906,2580.85009765625,25.770000457763672,9.039999961853027
2022-02-22 13:25:00-05:00,2993.034912109375,286.17999267578125,2581.110107421875,25.719999313354492,9.050000190734863
2022-02-22 13:30:00-05:00,2994.0,286.3500061035156,2581.0,25.719999313354492,9.095000267028809
