Date,ma14,rsi14,ma30,rsi30,ma50,rsi50,ma200,rsi200,Volume_1d_change,0_lag,1_lag,2_lag,3_lag,4_lag,5_lag,6_lag,7_lag,8_lag,9_lag,10_lag,11_lag,12_lag,13_lag,14_lag,15_lag,16_lag,17_lag,18_lag,19_lag
2016-10-18,806.2435738699777,62.41048984238049,803.9490030924479,59.38394153857097,802.2040014648437,57.34633372601521,754.3599505615234,52.29520677557027,1.1670768648239305,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938,802.6400146484375,810.0599975585938,810.72998046875,802.6500244140625,814.9600219726562,815.9500122070312,805.030029296875
2016-10-19,807.97214617048,65.1480703072991,804.5773376464844,60.791304530439724,802.5912023925781,58.185179959631405,754.6865005493164,52.48421543039107,-0.3447341982265322,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938,802.6400146484375,810.0599975585938,810.72998046875,802.6500244140625,814.9600219726562,815.9500122070312
2016-10-20,809.2271466936384,60.52527680062243,805.2036702473958,58.740829509042584,802.8540026855469,57.06988506404086,754.9980004882813,52.28148111012254,-0.07079528031464566,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938,802.6400146484375,810.0599975585938,810.72998046875,802.6500244140625,814.9600219726562
2016-10-21,810.9185747419085,61.88378661676046,806.3896708170573,59.40154006570992,803.1712023925782,57.45797716469411,755.4133004760743,52.367727752019775,0.15919362938517834,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938,802.6400146484375,810.0599975585938,810.72998046875,802.6500244140625
2016-10-24,813.2721470424107,67.64717836196753,807.6203369140625,62.395790235669104,803.7450024414062,59.26415700313304,755.9374505615234,52.780010959435955,-0.10409704171308332,835.739990234375,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938,802.6400146484375,810.0599975585938,810.72998046875
2016-10-25,815.2235761369977,61.48403974101947,808.9480041503906,59.59673963772587,804.1968017578125,57.72470909287832,756.4148504638672,52.498880581588914,0.3060928433268859,828.5499877929688,835.739990234375,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938,802.6400146484375,810.0599975585938
2016-10-26,816.5821446010044,56.51016328488569,810.0026692708333,57.2148639846128,804.6150012207031,56.38400109218055,756.7986502075196,52.247971631503454,-0.05066906436769447,822.0999755859375,828.5499877929688,835.739990234375,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938,802.6400146484375
2016-10-27,817.7707127162388,53.10317350031094,810.5400024414063,55.52428340433075,804.8536010742188,55.4167910007202,757.2875500488282,52.06380455113545,0.6566382528274555,817.3499755859375,822.0999755859375,828.5499877929688,835.739990234375,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125,804.0599975585938
2016-10-28,818.1557137625558,54.47832383691755,811.2596700032552,56.14793677858437,805.1898010253906,55.776946919854865,757.7283999633789,52.142685258466656,0.46457037161594084,819.5599975585938,817.3499755859375,822.0999755859375,828.5499877929688,835.739990234375,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438,800.3800048828125
2016-10-31,818.1792864118304,47.87076414401874,811.7433369954427,52.800148021333015,805.3948010253906,53.83715741644839,758.2254501342774,51.76846373899946,-0.48501687754024203,809.9000244140625,819.5599975585938,817.3499755859375,822.0999755859375,828.5499877929688,835.739990234375,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875,802.7899780273438
2016-11-01,817.729997907366,45.171078660603506,811.9333353678386,51.35088859911713,805.565400390625,52.976933963458364,758.6574499511719,51.59817055869681,0.050474874035760564,805.47998046875,809.9000244140625,819.5599975585938,817.3499755859375,822.0999755859375,828.5499877929688,835.739990234375,824.0599975585938,821.6300048828125,826.8400268554688,821.489990234375,806.8400268554688,804.5999755859375,804.0800170898438,811.77001953125,809.5700073242188,814.1699829101562,800.7100219726562,803.0800170898438,801.22998046875
