Adj Close,Adj Closelag1,Adj Closelag2,Adj Closelag3,Adj Closelag4,Adj Closelag5,Adj Closelag6,Adj Closelag7,Adj Closelag8,Adj Closelag9,Adj Closelag10,Adj Closelag11,Adj Closelag12,Adj Closelag13,Adj Closelag14,Adj Closelag15,Adj Closelag16,Adj Closelag17,Adj Closelag18,Adj Closelag19,Adj Closelag20,rsi200,rsi200lag1,rsi200lag2,rsi200lag3,rsi200lag4,rsi200lag5,rsi200lag6,rsi200lag7,rsi200lag8,rsi200lag9,rsi200lag10,rsi200lag11,rsi200lag12,rsi200lag13,rsi200lag14,rsi200lag15,rsi200lag16,rsi200lag17,rsi200lag18,rsi200lag19,rsi200lag20,ma200,ma200lag1,ma200lag2,ma200lag3,ma200lag4,ma200lag5,ma200lag6,ma200lag7,ma200lag8,ma200lag9,ma200lag10,ma200lag11,ma200lag12,ma200lag13,ma200lag14,ma200lag15,ma200lag16,ma200lag17,ma200lag18,ma200lag19,ma200lag20,rsi50,rsi50lag1,rsi50lag2,rsi50lag3,rsi50lag4,rsi50lag5,rsi50lag6,rsi50lag7,rsi50lag8,rsi50lag9,rsi50lag10,rsi50lag11,rsi50lag12,rsi50lag13,rsi50lag14,rsi50lag15,rsi50lag16,rsi50lag17,rsi50lag18,rsi50lag19,rsi50lag20,ma50,ma50lag1,ma50lag2,ma50lag3,ma50lag4,ma50lag5,ma50lag6,ma50lag7,ma50lag8,ma50lag9,ma50lag10,ma50lag11,ma50lag12,ma50lag13,ma50lag14,ma50lag15,ma50lag16,ma50lag17,ma50lag18,ma50lag19,ma50lag20,rsi30,rsi30lag1,rsi30lag2,rsi30lag3,rsi30lag4,rsi30lag5,rsi30lag6,rsi30lag7,rsi30lag8,rsi30lag9,rsi30lag10,rsi30lag11,rsi30lag12,rsi30lag13,rsi30lag14,rsi30lag15,rsi30lag16,rsi30lag17,rsi30lag18,rsi30lag19,rsi30lag20,ma30,ma30lag1,ma30lag2,ma30lag3,ma30lag4,ma30lag5,ma30lag6,ma30lag7,ma30lag8,ma30lag9,ma30lag10,ma30lag11,ma30lag12,ma30lag13,ma30lag14,ma30lag15,ma30lag16,ma30lag17,ma30lag18,ma30lag19,ma30lag20,rsi14,rsi14lag1,rsi14lag2,rsi14lag3,rsi14lag4,rsi14lag5,rsi14lag6,rsi14lag7,rsi14lag8,rsi14lag9,rsi14lag10,rsi14lag11,rsi14lag12,rsi14lag13,rsi14lag14,rsi14lag15,rsi14lag16,rsi14lag17,rsi14lag18,rsi14lag19,rsi14lag20,ma14,ma14lag1,ma14lag2,ma14lag3,ma14lag4,ma14lag5,ma14lag6,ma14lag7,ma14lag8,ma14lag9,ma14lag10,ma14lag11,ma14lag12,ma14lag13,ma14lag14,ma14lag15,ma14lag16,ma14lag17,ma14lag18,ma14lag19,ma14lag20
775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,822.0999756,828.5499878,835.7399902,824.0599976,821.6300049,826.8400269,821.4899902,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,52.24797163,52.49888058,52.78001096,52.36772775,52.28148111,52.48421543,52.29520678,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,756.7986502,756.4148505,755.9374506,755.4133005,754.9980005,754.6865005,754.3599506,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,56.38400109,57.72470909,59.264157,57.45797716,57.06988506,58.18517996,57.34633373,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,804.6150012,804.1968018,803.7450024,803.1712024,802.8540027,802.5912024,802.2040015,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,57.21486398,59.59673964,62.39579024,59.40154007,58.74082951,60.79130453,59.38394154,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,810.0026693,808.9480042,807.6203369,806.3896708,805.2036702,804.5773376,803.9490031,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,56.51016328,61.48403974,67.64717836,61.88378662,60.5252768,65.14807031,62.41048984,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127,816.5821446,815.2235761,813.272147,810.9185747,809.2271467,807.9721462,806.2435739
779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,822.0999756,828.5499878,835.7399902,824.0599976,821.6300049,826.8400269,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,52.24797163,52.49888058,52.78001096,52.36772775,52.28148111,52.48421543,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,756.7986502,756.4148505,755.9374506,755.4133005,754.9980005,754.6865005,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,56.38400109,57.72470909,59.264157,57.45797716,57.06988506,58.18517996,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,804.6150012,804.1968018,803.7450024,803.1712024,802.8540027,802.5912024,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,57.21486398,59.59673964,62.39579024,59.40154007,58.74082951,60.79130453,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,810.0026693,808.9480042,807.6203369,806.3896708,805.2036702,804.5773376,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,56.51016328,61.48403974,67.64717836,61.88378662,60.5252768,65.14807031,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127,816.5821446,815.2235761,813.272147,810.9185747,809.2271467,807.9721462
786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,822.0999756,828.5499878,835.7399902,824.0599976,821.6300049,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,52.24797163,52.49888058,52.78001096,52.36772775,52.28148111,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,756.7986502,756.4148505,755.9374506,755.4133005,754.9980005,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,56.38400109,57.72470909,59.264157,57.45797716,57.06988506,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,804.6150012,804.1968018,803.7450024,803.1712024,802.8540027,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,57.21486398,59.59673964,62.39579024,59.40154007,58.74082951,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,810.0026693,808.9480042,807.6203369,806.3896708,805.2036702,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,56.51016328,61.48403974,67.64717836,61.88378662,60.5252768,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127,816.5821446,815.2235761,813.272147,810.9185747,809.2271467
775.9699707,786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,822.0999756,828.5499878,835.7399902,824.0599976,50.42301037,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,52.24797163,52.49888058,52.78001096,52.36772775,761.5257492,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,756.7986502,756.4148505,755.9374506,755.4133005,48.25247602,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,56.38400109,57.72470909,59.264157,57.45797716,802.484198,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,804.6150012,804.1968018,803.7450024,803.1712024,45.79201327,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,57.21486398,59.59673964,62.39579024,59.40154007,802.5856608,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,810.0026693,808.9480042,807.6203369,806.3896708,42.76555463,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,56.51016328,61.48403974,67.64717836,61.88378662,785.6657017,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127,816.5821446,815.2235761,813.272147,810.9185747
784.7999878,775.9699707,786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,822.0999756,828.5499878,835.7399902,50.73278391,50.42301037,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,52.24797163,52.49888058,52.78001096,761.9289493,761.5257492,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,756.7986502,756.4148505,755.9374506,49.54325461,48.25247602,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,56.38400109,57.72470909,59.264157,802.2037976,802.484198,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,804.6150012,804.1968018,803.7450024,47.84010862,45.79201327,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,57.21486398,59.59673964,62.39579024,801.606661,802.5856608,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,810.0026693,808.9480042,807.6203369,46.56378879,42.76555463,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,56.51016328,61.48403974,67.64717836,784.1885594,785.6657017,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127,816.5821446,815.2235761,813.272147
785,784.7999878,775.9699707,786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,822.0999756,828.5499878,50.73979092,50.73278391,50.42301037,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,52.24797163,52.49888058,762.3488492,761.9289493,761.5257492,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,756.7986502,756.4148505,49.57232829,49.54325461,48.25247602,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,56.38400109,57.72470909,802.1293982,802.2037976,802.484198,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,804.6150012,804.1968018,47.88624648,47.84010862,45.79201327,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,57.21486398,59.59673964,800.7876607,801.606661,802.5856608,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,810.0026693,808.9480042,46.65015365,46.56378879,42.76555463,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,56.51016328,61.48403974,783.9442749,784.1885594,785.6657017,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127,816.5821446,815.2235761
779,785,784.7999878,775.9699707,786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,822.0999756,50.52315205,50.73979092,50.73278391,50.42301037,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,52.24797163,762.7095993,762.3488492,761.9289493,761.5257492,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,756.7986502,48.71312602,49.57232829,49.54325461,48.25247602,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,56.38400109,801.9001978,802.1293982,802.2037976,802.484198,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,804.6150012,46.60689763,47.88624648,47.84010862,45.79201327,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,57.21486398,799.6953267,800.7876607,801.606661,802.5856608,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,810.0026693,44.33526475,46.65015365,46.56378879,42.76555463,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,56.51016328,783.7164176,783.9442749,784.1885594,785.6657017,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127,816.5821446
780.2299805,779,785,784.7999878,775.9699707,786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,817.3499756,50.56663627,50.52315205,50.73979092,50.73278391,50.42301037,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,52.06380455,763.0789493,762.7095993,762.3488492,761.9289493,761.5257492,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,757.28755,48.89839875,48.71312602,49.57232829,49.54325461,48.25247602,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,55.416791,801.4801978,801.9001978,802.1293982,802.2037976,802.484198,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,804.8536011,46.9076991,46.60689763,47.88624648,47.84010862,45.79201327,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,55.5242834,798.9003255,799.6953267,800.7876607,801.606661,802.5856608,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,810.5400024,44.93845885,44.33526475,46.65015365,46.56378879,42.76555463,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,53.1031735,783.6542751,783.7164176,783.9442749,784.1885594,785.6657017,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138,817.7707127
785.789978,780.2299805,779,785,784.7999878,775.9699707,786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,819.5599976,50.76323132,50.56663627,50.52315205,50.73979092,50.73278391,50.42301037,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,52.14268526,763.4734491,763.0789493,762.7095993,762.3488492,761.9289493,761.5257492,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,757.7284,49.73595316,48.89839875,48.71312602,49.57232829,49.54325461,48.25247602,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,55.77694692,801.2365979,801.4801978,801.9001978,802.1293982,802.2037976,802.484198,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,805.189801,48.27050095,46.9076991,46.60689763,47.88624648,47.84010862,45.79201327,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,56.14793678,798.2733256,798.9003255,799.6953267,800.7876607,801.606661,802.5856608,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,811.25967,47.69751374,44.93845885,44.33526475,46.65015365,46.56378879,42.76555463,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,54.47832384,782.4942714,783.6542751,783.7164176,783.9442749,784.1885594,785.6657017,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864,818.1557138
789.4400024,785.789978,780.2299805,779,785,784.7999878,775.9699707,786.1599731,779.9799805,775.1599731,753.2199707,771.75,780.289978,805.5900269,811.9799805,802.0300293,781.0999756,782.1900024,788.4199829,805.4799805,809.9000244,50.89208654,50.76323132,50.56663627,50.52315205,50.73979092,50.73278391,50.42301037,50.78969927,50.57279315,50.40314357,49.61997156,50.28727541,50.59931918,51.54209221,51.78456457,51.43055939,50.67253214,50.71354647,50.94805748,51.59817056,51.76846374,763.832449,763.4734491,763.0789493,762.7095993,762.3488492,761.9289493,761.5257492,761.1646994,760.8840497,760.7310498,760.7597998,760.84755,760.7955499,760.6356,760.1955499,759.8045999,759.4625497,759.28435,759.0067499,758.65745,758.2254501,50.28182264,49.73595316,48.89839875,48.71312602,49.57232829,49.54325461,48.25247602,49.69008603,48.78315544,48.06759767,44.61590605,47.21320897,48.48810517,52.61281627,53.74441934,52.1747464,48.5774688,48.76467271,49.84048844,52.97693396,53.83715742,801.1175977,801.2365979,801.4801978,801.9001978,802.1293982,802.2037976,802.484198,802.7343982,803.0679993,803.6281995,804.2854004,805.1584009,805.5514014,805.7426013,805.4692004,805.146001,804.9697998,805.1738,805.4019995,805.5654004,805.394801,49.15679636,48.27050095,46.9076991,46.60689763,47.88624648,47.84010862,45.79201327,47.88972256,46.45161164,45.31376561,39.67333692,43.32131208,45.17176302,51.46756307,53.28059755,50.66463966,44.32573701,44.61432196,46.27899067,51.3508886,52.80014802,797.6933248,798.2733256,798.9003255,799.6953267,800.7876607,801.606661,802.5856608,803.4103292,803.9743306,804.682664,805.6036641,807.1756653,808.2526652,808.9976664,809.1466654,809.1049988,809.1256653,810.2543335,811.3796672,811.9333354,811.743337,49.48697064,47.69751374,44.93845885,44.33526475,46.65015365,46.56378879,42.76555463,46.29149835,43.67632021,41.61751199,30.94913695,36.12632877,38.91196803,49.3881712,52.7167677,47.61157538,33.61018691,34.05027392,36.5931942,45.17107866,47.87076414,780.884273,782.4942714,783.6542751,783.7164176,783.9442749,784.1885594,785.6657017,788.089277,790.474993,793.1442784,796.4971357,801.8778512,806.4485648,809.5749948,810.7207075,811.7821394,813.1721366,815.0107117,816.611424,817.7299979,818.1792864
